CM,TRI,CY,FAM,WOM,PR,SR,FR,TR,PU,PEOU,ITU,PUFR,PUSR,PUPR,PEOUFR,PEOUSR,PEOUPR
3.00 ,3.00 ,3.00 ,2.00 ,4.00 ,5.00 ,2.75 ,2.00 ,1.50 ,3.00 ,2.00 ,3.25 ,4.00 ,8.25 ,15.00 ,4.00 ,5.50 ,10.00 
5.00 ,5.00 ,5.00 ,3.50 ,3.67 ,4.00 ,4.00 ,2.67 ,3.00 ,4.25 ,4.50 ,5.00 ,12.00 ,17.00 ,17.00 ,12.00 ,18.00 ,18.00 
5.00 ,5.00 ,5.00 ,4.00 ,5.00 ,3.67 ,4.00 ,3.00 ,5.00 ,5.00 ,5.00 ,5.00 ,15.00 ,20.00 ,18.33 ,15.00 ,20.00 ,18.33 
4.00 ,4.00 ,3.00 ,3.00 ,3.67 ,3.00 ,3.75 ,3.00 ,3.00 ,4.00 ,3.50 ,3.25 ,10.50 ,15.00 ,12.00 ,10.50 ,13.13 ,10.50 
5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.33 ,4.00 ,3.00 ,5.00 ,5.00 ,5.00 ,5.00 ,15.00 ,20.00 ,21.67 ,15.00 ,20.00 ,21.67 
4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,5.00 ,5.00 ,4.00 ,5.00 ,5.00 ,5.00 ,5.00 ,20.00 ,25.00 ,25.00 ,20.00 ,25.00 ,25.00 
4.00 ,4.75 ,4.75 ,3.00 ,2.67 ,5.00 ,3.50 ,3.33 ,3.75 ,5.00 ,4.50 ,4.75 ,15.00 ,17.50 ,25.00 ,15.00 ,15.75 ,22.50 
4.00 ,4.00 ,4.00 ,3.00 ,3.67 ,4.00 ,3.75 ,3.00 ,3.75 ,4.00 ,3.50 ,4.00 ,10.50 ,15.00 ,16.00 ,10.50 ,13.13 ,14.00 
2.00 ,2.00 ,4.00 ,2.00 ,4.00 ,5.00 ,1.50 ,4.00 ,2.00 ,3.00 ,3.00 ,2.00 ,12.00 ,4.50 ,15.00 ,12.00 ,4.50 ,15.00 
5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,3.67 ,5.00 ,3.67 ,5.00 ,5.00 ,5.00 ,5.00 ,18.33 ,25.00 ,18.33 ,18.33 ,25.00 ,18.33 
3.00 ,3.00 ,3.00 ,2.00 ,2.33 ,4.00 ,3.00 ,4.00 ,3.00 ,3.00 ,2.75 ,3.00 ,11.00 ,9.00 ,12.00 ,11.00 ,8.25 ,11.00 
4.67 ,4.00 ,4.25 ,4.00 ,3.33 ,3.67 ,4.00 ,2.67 ,4.00 ,4.75 ,4.75 ,5.00 ,12.67 ,19.00 ,17.42 ,12.67 ,19.00 ,17.42 
4.67 ,3.50 ,3.00 ,3.00 ,3.67 ,4.00 ,4.00 ,3.33 ,4.00 ,4.00 ,3.75 ,3.00 ,12.50 ,16.00 ,16.00 ,12.50 ,15.00 ,15.00 
5.00 ,5.00 ,4.75 ,5.00 ,5.00 ,3.67 ,5.00 ,2.33 ,5.00 ,5.00 ,4.75 ,5.00 ,11.08 ,25.00 ,18.33 ,11.08 ,23.75 ,17.42 
5.00 ,5.00 ,5.00 ,4.00 ,3.67 ,5.00 ,4.25 ,3.67 ,5.00 ,4.75 ,4.00 ,4.00 ,14.67 ,20.19 ,23.75 ,14.67 ,17.00 ,20.00 
4.00 ,4.00 ,3.00 ,3.00 ,3.33 ,3.67 ,3.50 ,4.67 ,3.00 ,3.50 ,2.75 ,3.00 ,12.83 ,12.25 ,12.83 ,12.83 ,9.63 ,10.08 
4.00 ,3.25 ,4.50 ,4.00 ,3.00 ,3.67 ,4.00 ,2.33 ,4.00 ,3.25 ,5.00 ,5.00 ,11.67 ,13.00 ,11.92 ,11.67 ,20.00 ,18.33 
3.67 ,3.75 ,3.00 ,5.00 ,3.67 ,3.67 ,4.00 ,3.67 ,3.50 ,3.50 ,4.50 ,5.00 ,16.50 ,14.00 ,12.83 ,16.50 ,18.00 ,16.50 
4.67 ,4.00 ,3.00 ,3.00 ,3.00 ,5.00 ,4.00 ,3.33 ,4.00 ,4.00 ,4.00 ,4.00 ,13.33 ,16.00 ,20.00 ,13.33 ,16.00 ,20.00 
3.67 ,4.00 ,4.00 ,4.00 ,4.00 ,5.00 ,3.75 ,3.67 ,3.75 ,4.00 ,3.75 ,4.00 ,13.75 ,15.00 ,20.00 ,13.75 ,14.06 ,18.75 
4.67 ,4.00 ,3.75 ,4.00 ,4.00 ,5.00 ,3.50 ,4.33 ,4.00 ,4.50 ,4.25 ,4.50 ,18.42 ,15.75 ,22.50 ,18.42 ,14.88 ,21.25 
5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.00 ,3.50 ,4.33 ,3.00 ,5.00 ,5.00 ,5.00 ,21.67 ,17.50 ,20.00 ,21.67 ,17.50 ,20.00 
5.00 ,4.75 ,5.00 ,5.00 ,5.00 ,5.00 ,4.50 ,4.67 ,3.00 ,5.00 ,5.00 ,5.00 ,23.33 ,22.50 ,25.00 ,23.33 ,22.50 ,25.00 
4.67 ,4.25 ,3.00 ,5.00 ,4.00 ,5.00 ,4.50 ,3.67 ,4.25 ,4.75 ,4.25 ,5.00 ,15.58 ,21.38 ,23.75 ,15.58 ,19.13 ,21.25 
3.67 ,3.75 ,3.00 ,3.00 ,2.33 ,4.00 ,4.00 ,3.00 ,4.00 ,4.00 ,4.00 ,4.00 ,12.00 ,16.00 ,16.00 ,12.00 ,16.00 ,16.00 
3.33 ,3.75 ,4.25 ,4.50 ,2.67 ,3.67 ,4.25 ,2.00 ,4.00 ,4.75 ,4.25 ,4.50 ,8.50 ,20.19 ,17.42 ,8.50 ,18.06 ,15.58 
4.33 ,4.00 ,3.75 ,5.00 ,3.67 ,5.00 ,3.25 ,3.67 ,3.00 ,3.50 ,4.00 ,4.00 ,14.67 ,11.38 ,17.50 ,14.67 ,13.00 ,20.00 
4.00 ,4.00 ,3.00 ,3.00 ,4.00 ,3.67 ,2.75 ,4.00 ,3.00 ,3.00 ,3.00 ,3.00 ,12.00 ,8.25 ,11.00 ,12.00 ,8.25 ,11.00 
2.67 ,2.25 ,1.75 ,3.00 ,2.00 ,4.67 ,3.50 ,3.33 ,3.75 ,2.75 ,2.75 ,2.75 ,9.17 ,9.63 ,12.83 ,9.17 ,9.63 ,12.83 
3.67 ,3.25 ,2.75 ,3.00 ,3.00 ,3.00 ,3.00 ,3.33 ,3.00 ,3.00 ,3.00 ,3.00 ,10.00 ,9.00 ,9.00 ,10.00 ,9.00 ,9.00 
5.00 ,4.25 ,4.25 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,16.00 ,16.00 ,16.00 ,16.00 ,16.00 ,16.00 
3.00 ,2.00 ,2.50 ,3.00 ,2.67 ,5.00 ,3.25 ,3.00 ,2.25 ,2.25 ,3.00 ,4.00 ,9.00 ,7.31 ,11.25 ,9.00 ,9.75 ,15.00 
3.67 ,4.00 ,3.50 ,2.50 ,4.00 ,4.67 ,4.00 ,3.67 ,4.00 ,4.00 ,4.00 ,4.00 ,14.67 ,16.00 ,18.67 ,14.67 ,16.00 ,18.67 
4.00 ,4.00 ,3.75 ,3.00 ,3.00 ,3.33 ,4.25 ,3.00 ,3.00 ,4.00 ,4.00 ,4.00 ,12.00 ,17.00 ,13.33 ,12.00 ,17.00 ,13.33 
4.33 ,4.50 ,4.00 ,3.00 ,3.67 ,5.00 ,4.25 ,4.67 ,4.50 ,4.25 ,2.75 ,4.00 ,12.83 ,18.06 ,21.25 ,12.83 ,11.69 ,13.75 
